	T1	n1	T2	n2	T3	n3	T4	n4	T5	n5	T6	n6	T7	n7	T8	n8	T9	n9	T10	n10	T11	n11	T12	n12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	n27	T27	T28	n28	n29	T29	T30	T31	T32	n32	T33	n33	n34	T34	T35	n35	n36	T36	T37	T38	T39	n39	T40	n40
J03161_1	112.4542	294.3125	195.6792	245.3667	205.7458	54.50417	112.6375	98.41667	115.8792	97.05208	57.21458	451.5	194	172.4188	264.4792	158.8792	38.12708	32.1	125.8854	50.79583	194.5729	231.625	41.47083	56.36667	118.1583	112.1625	127.5813	242.4979	249.1458	210.9271	262.7583	50.31875	75.43333	216.6229	124.9792	114.9292	133.3229	58.2875	144.2167	113.65	126.2271	113.0438	396.8083	210.9063	377.3604	200.4125	206.1563	446.2542	145.7333	68.28333	99.9375	171.0125	64.54583	367.0042	61.1375	49.57917	128.8521	37.52708	127.5563	116.2208	144.3292	51.88542
J03161_2	92.3625	239.2167	154.825	248.5354	193.2292	59.67292	115.3854	88.25833	198.6625	87.03333	50.27917	396.5542	155.9625	156.1458	218.4	158.525	41.525	41.96875	87.82708	29.05	191.9167	209.1104	45.61667	61.56042	84.10833	101.2813	116.45	224.7813	233.9313	179.6333	202.2729	41.10833	74.76875	172.5208	112.0292	106.5125	111.6708	65.71875	100.4979	109.9354	119.2729	104.2833	334.3792	185.3708	326.1354	210.9042	188.8792	401.925	96.68958	36.19375	35.3125	121.2042	87.96667	327.6083	52.91042	66.02708	83.75	29.77292	100.9	115.3104	138.5208	86.52708
J03210	150.8417	169.7321	580.8941	107.0071	409.8869	196.6917	210.7012	299.0345	127.1583	272.4988	487.3131	310.1774	367.575	117.5357	494.2714	98.10119	312.0214	37.81905	181.1833	193.6845	73.55	328.4631	77.35952	43.76191	136.0357	120.2857	167.8631	207.619	313.3988	427.2155	1050.052	646.4738	78.78333	410.5952	244.8738	194.5321	174.2083	94.95	228.7429	354.8369	188.2452	345.356	139.1083	260.1774	465.9095	603.9762	354.6595	190.15	199.3524	565.9821	134.1238	428.8226	373.6464	463.3405	429.9655	348.2167	1043.612	84.16905	295.5631	169.6393	355.9738	459.8155
J03239	137.3845	121.6202	19.96667	56.27143	338.7381	143.056	77.27262	145.6464	181.2083	161.3262	297.7726	234.3048	95.60595	80.89881	254.7417	58.68452	92.68691	74.01191	149.7357	155.1357	121.1381	140.4726	129.9667	23.83214	385.1631	106.4119	107.7119	275.0345	164.8786	114.0345	218.0167	197.456	122.7274	266.6905	113.8702	187.756	86.09286	189.8321	294.4821	195.8905	89.45	348.1405	522.4762	315.8905	415.3012	458.4548	458.4083	296.7155	147.7393	267.9988	250.9155	498.0655	177.35	334.7167	170.0226	176.456	128.8607	81.35595	143.05	137.331	153.8524	269.4464
J03490	37.7525	74.65	34.45	57.60625	68.1	78.6175	87.6425	89.4775	161.1975	88.35	190.8475	107.91	63.5325	93.2925	140.1775	92.23	53.8775	73.23625	116.425	99.44	56.935	63.0075	45.85625	20.04125	177.78	50.8975	49.7475	92.78625	99.0725	100.5088	96.76375	60.01875	97.03875	130.2688	95.515	94.95	52.3875	129.755	98.94375	133.7012	38.615	201.45	306.9163	256.0325	225.5025	417.6175	440.7625	140.2475	65.8425	179.4675	89.59875	239.8563	99.585	212.7775	88.93625	153.3375	73.36125	26.99	162.2988	110.9913	80.24125	106.9963
J03544	218.9938	619.3675	133.335	485.0438	386.3413	148.41	222.465	105.9113	1181.818	778.53	185.5488	823.6825	246.505	238.455	309.2075	141.5762	69.5625	150.235	805.2475	155.5213	682.0425	569.3925	91.065	64.3925	454.38	207.545	191.9512	450.6313	743.405	416.3588	194.9275	123.5088	114.935	299.1025	170.805	162.8638	1540.619	254.5025	674.6588	369.65	748.4338	548.6463	832.9825	480.0875	815.7338	764.255	2236.031	790.2838	412.5063	581.9125	314.0275	413.2462	527.2363	785.7713	101.2488	360.6688	222.55	581.6875	303.9337	504.3238	355.015	414.0513
J03569	99.61625	87.1025	68.80875	35.52625	205.44	131.2175	46.9575	100.625	108.99	89.24875	458.5563	110.2325	123.6175	58.11375	220.1588	65.47375	53.62125	47.25625	187.1725	64.64	83.595	83.38125	193.6163	10.35375	230.6163	72.6225	76.61375	351.005	151.33	186.5575	199.1213	102.8163	149.0825	346.3175	104.4088	169.315	127.735	170.42	192.6838	294.8688	87.0975	241.5663	292.5713	533.03	337.5213	947.2663	767.8125	216.96	111.7088	185.9975	89.825	537.4538	169.0313	233.4525	375.4463	181.0288	82.00875	134.17	317.5525	150.9188	319.6988	167.2163
J03600	16.57125	38.88625	29.2875	34.19	48.635	17.77	33.6325	14.3325	24.76625	30.63	52.58125	56.44875	27.69875	17.79375	136.2888	28.05125	25.65625	17.03	25.62625	20.14375	21.765	40.20625	10.4875	9.565	34.53	21.45875	9.8325	11.815	44.3325	92.7	165.185	55.04	59.21	65.6525	15.835	57.015	55.7725	40.9875	35.95875	45.40875	23.255	45.1325	129.0762	346.63	100.7113	139.21	413.7275	86.145	27.39	94.82	173.02	371.725	82.825	45.045	173.4188	74.99875	184.655	12.5025	71.99125	68.9175	40.82625	72.475
J03824	130.9595	121.5833	71.35952	26.78214	81.46786	96.03214	94.97262	121.6048	119.2095	368.325	550.1107	152.5024	118.2226	109.5393	142.5	69.9869	53.8381	44.96786	44.39881	150.5845	214.4381	274.0286	84.88571	71.34167	172.6036	128.6583	138.3238	237.8726	325.3131	270.3393	125.3833	105.2536	108.5083	166.2631	85.27143	45.12976	265.2607	117.9083	160.6238	97.49762	46.28214	147.6274	190.2417	68.83691	408.6607	221.5607	441.6405	227.7441	128.0024	134.744	114.4893	71.65357	79.73452	92.07619	176.8036	125.6226	83.13214	60.58571	148.8179	166.994	59.16071	102.2988
J03827	121.515	238.9975	36.455	73.46	86.18125	39.47375	59.7675	64.88	52.93375	204.2438	487.6713	143.6387	119.4625	104.71	96.50625	91.1175	89.915	91.97375	44.99625	102.3688	270.0213	393.4225	143.7863	53.10625	159.5938	101.2725	76.1725	230.2125	422.345	239.3488	216.1863	164.4013	110.5638	202.425	88.3125	123.3813	281.8112	168.6538	136.8975	123.615	45.77375	92.72875	325.4013	268.4962	343.865	312.4663	391.0238	217.2088	116.6238	242.7725	208.585	234.11	143.0025	132.8638	126.1888	83.3575	63.07625	35.26625	263.7363	172.5	53.79625	121.5025
J04026	209.9613	359.0375	29.56125	79.255	287.1613	62.33875	154.68	83.2775	125.495	377.0225	627.305	169.9475	329.2113	226.855	184.12	457.2225	78.02	133.59	119.41	187.045	373.9962	401.4938	232.7675	86.375	243.8275	451.775	438.0088	375.75	856.435	622.5287	307.97	438.225	286.255	336.825	182.9763	394.8863	532.4888	626.3013	193.4813	338.3288	115.4138	109.2263	655.1537	1120.436	766.2125	1162.426	736.4238	313.9063	247.365	148.745	163.0038	202.3475	192.745	183.7575	211.0788	179.0988	38.865	89.91625	439.1875	426.365	272.5863	174.945
J04046	181.3325	252.5638	183.4788	203.225	105.01	33.70375	130.7038	111.0463	393.4475	71.54625	116.0813	267.015	105.2788	147.3425	171.0538	237.7763	85.07	85.1875	105.3488	56.46625	202.7813	274.4113	77.18875	31.3225	131.6025	233.0238	206.6538	472.9375	510.7663	275.7638	475.2188	59.75875	108.8025	429.3325	302.695	149.3513	222.5425	96.87125	256.3275	249.1713	297.6913	182.1663	281.9463	183.9475	599.3613	215.3388	260.3025	336.2613	106.16	228.1113	182.1025	324.0163	310.8288	345.3275	115.5613	73.51125	227.6538	225.6163	249.8013	250.0463	184.0762	237.7225
J04102	71.94125	32.70375	19.2175	55.07125	38.9225	10.8225	62.40625	9.06375	107.2613	34.07	47.05875	57.36875	119.64	41.68875	103.2763	18.43	22.65125	14.41875	58.84375	15.07875	130.7425	39.105	7.19375	12.63	134.94	67.07	95.3075	533.2388	525.3675	89.86875	87.475	74.635	107.8038	180.0525	100.225	123.9113	164.0688	119.5475	98.4025	100.875	123.89	146.6138	105.5175	183.94	306.0612	148.99	203.38	144.39	86.9025	140.3988	130.6175	122.9388	135.4438	139.8813	48.17875	121.8838	45.5325	133.3813	37.31625	94.92125	55.5125	85.0875
J04162	41.80714	40.45952	31.05	21.92262	25.775	17.33929	53.84643	79.60595	68.85833	37.50238	71.61905	71.39762	47.39881	25.46786	65.94643	20.92619	42.60238	26.08929	30.37262	30.86667	31.43095	35.28333	66.04286	16.54524	39.67857	31.40595	24.68333	48.0631	50.50595	95.59048	191.331	48.61191	25.56191	99.66548	24.0881	96.56071	53.9	40.15	38.18571	22.89524	26.02857	65.93095	93.48452	96.85952	156.0071	249.3548	171.2762	59.64167	29.26667	90.37619	47.32619	101.5643	35.7881	80.45119	192.7774	52.44167	39.51191	9.69048	31.23452	46.8881	149.4012	46.21548
J04173	258.1788	612.5775	244.2025	539.9713	180.5175	111.7125	326.9838	286.2363	824.185	276.5863	218.5113	932.2625	229.6638	266.9913	440.6463	549.6925	116.3263	146.3988	226.8325	110.7813	867.3163	510.7675	124.8575	62.36875	494.83	339.0838	366.7588	671.855	893.3213	749.0838	1332.054	124.7638	159.1313	508.8025	463.2638	288.9163	431.0713	433.8338	473.3988	371.785	365.67	327.2438	700.325	749.425	939.4488	662.51	882.7538	664.4925	222.1025	463.8063	454.9763	429.0513	635.4313	632.9338	319.3325	272.0738	478.1163	325.6388	709.745	525.8325	369.7225	419.385
J04182	402.4188	560.6238	264.1175	426.4138	384.25	141.55	301.6488	465.105	421.3213	597.3175	377.2863	943.05	235.1163	202.6813	515.93	319.9488	191.0075	98.2225	785.0925	109.9325	441.3063	508.0563	306.0175	55.54375	403.9875	496.6413	318.495	1258.183	1040.466	420.05	1189.683	234.4575	93.6375	486.73	707.3688	232.8525	613.6863	268.5175	264.98	434.5375	513.1975	336.3375	409.7988	286.245	796.0862	420.5488	384.75	688.5938	216.3625	413.19	248.125	424.8163	442.5675	708.7825	441.36	240.3213	742.2625	344.8663	734.985	472.7575	408.3988	218.3738
J04474	87.70714	131.6012	19.32857	55.76071	125.6571	108.6512	67.79881	58.43691	258.4726	193.9821	246.8405	171.3441	129.7774	52.44881	155.7417	128.2643	66.06429	69.78095	166.1512	152.7786	121.0702	115.7298	135.6881	37.02262	227.9083	78.13333	62.59405	125.0762	115.5726	229.2202	187.0036	105.7798	172.631	130.0726	88.27143	60.31786	132.4321	120.0238	149.5095	144.7607	34.52976	216.3595	344.0571	285.8679	234.6441	286.0857	400.2798	168.3714	106.5643	161.2524	71.9881	261.3679	106.4048	220.9143	93.61429	164.8655	98.02143	34.12143	95.65476	87.43095	58.96429	192.0833
J04621	285.3464	413.406	245.9976	371.375	103.6524	93.2881	64.53333	94.61191	156.8214	279.2512	186.9631	400.8845	156.7417	155.3214	393.4143	100.1702	38.18452	48.35952	86.44524	62.95595	244.6833	475.9619	80.38214	76.7381	150.2417	144.0393	115.4512	216.9941	368.4905	367.4726	546.2012	41.63214	39.48333	362.9571	160.1726	63.91786	284.8143	78.47857	659.1369	280.4679	195.35	415.9857	673.4393	348.7726	780.7429	238.9774	410.1214	462.8107	455.5095	585.6214	222.8964	262.9833	144.056	469.381	314.6583	284.1131	263.7048	174.481	387.375	601.7702	241.781	543.6071
J04794	399.0536	493.7691	322.8429	410.1238	238.5036	117.8381	431.531	410.6952	613.0679	248.0369	448.0667	757.3976	317.2036	289.4702	520.0798	757.2964	78.40476	132.7905	308.7071	113.2345	759.6	491.6952	193.4631	53.58571	528.7393	370.6071	436.6262	778.1524	738.0452	1091.979	578.2405	130.1988	208.5667	1009.646	387.9571	193.3143	916.1679	325.4345	138.4631	268.4048	502.9821	137.4262	343.7369	203.0381	706.8405	417.9714	1551.256	484.4631	71.3881	91.92024	498.5298	283.6238	320.9202	520.4048	186.4655	265.7691	330.25	393.4976	289.7321	231.9607	254.9714	78.84286
J04813	200.7025	379.0663	150.4075	550.4763	235.1825	153.1575	288.0975	390.92	150.9738	426.9625	83.66375	296.5475	168.1938	98.745	535.3238	239.1525	48.37375	89.9575	127.7513	160.0063	297.11	281.7713	28.8225	97.86625	515.8325	250.47	274.0263	253.42	332.665	175.9363	346.725	83.0025	111.4638	176.1863	159.4863	81.745	455.8713	132.3775	272.8575	220.3575	241.4575	526.545	649.0225	151.3838	589.58	253.6313	200.26	929.7025	123.3513	143.0538	135.6712	338.8263	887.9763	414.925	54.85625	379.8625	55.51	128.7063	173.6738	475.71	65.02375	173.6712
J04977	184.06	282.9188	64.52125	167.22	85.68125	61.055	85.25375	56.28375	257.645	125.8525	115.4588	220.775	123.0438	124.4388	176.3363	68.72875	76.9175	40.42875	134.7838	44.48375	235.0788	243.6263	41.68	15.49125	284.1475	203.9225	143.6	487.375	552.6088	256.76	530.465	81.66375	78.28875	202.1	357.1675	149.8425	236.7375	178.4625	111.2825	342.705	216.2225	169.2838	322.4838	202.0063	503.68	390.6813	302.0425	293.17	112.7313	268.7763	147.5638	212.4188	190.7088	403.3175	165.2138	209.4588	155.5188	240.18	389.7775	323.995	123.7813	116.6475
J05032	68.84125	79.775	41.92	26.75375	165.4463	38.74875	99.9575	21.04625	518.665	62.56625	339.3087	87.955	121.035	37.64125	102.1713	9.78375	124.3925	31.6275	180.905	53.2	92.3375	64.1725	92.73625	13.33375	161.6863	142.9825	115.7488	306.4638	369.565	176.8688	337.8488	287.055	126.9938	267.7125	115.7488	259.9625	163.9138	347.9825	84.14375	255.5975	93.0825	83.3375	201.5163	219.8388	98.79375	416.0925	332.0963	154.7925	52.74375	186.9163	105.8813	461.8863	131.5325	88.165	163.5925	113.6663	89.64	72.815	190.5188	67.7375	131.875	125.9138
J05158	364.2588	410.7613	268.6675	398.1625	208.6863	169.9025	255.5038	153.5788	743.1638	292.85	307.6013	545.9913	263.5175	224.6475	312.805	219.7588	103.3563	98.67625	235.975	154.635	304.0725	402.9788	81.6225	55.535	347.2263	202.795	187.2188	470.9463	641.6438	350.3913	521.8375	71.635	123.9713	316.5138	214.79	106.97	799.6938	154.6325	261.225	194.4563	191.5	231.18	340.7388	220.535	354.5738	227.4388	236.9288	258.4175	133.6075	256.0163	241.155	221.5075	319.8913	320.7388	182.6125	161.7475	461.115	201.565	176.2538	218.995	113.0113	266.25
J05272	207.7088	255.0488	171.8363	181.0238	356.7088	331.845	213.0488	258.8275	666.64	541.995	784.2763	462.1888	313.3225	242.3725	379.9288	178.9988	165.1913	171.085	300.6525	364.4563	243.7888	309.2438	205.5975	95.655	518.8638	257.1825	147.8525	375.085	362.7888	418.5463	469.4	274.365	237.3275	463.24	289.4688	360.9038	379.1138	397.6363	240.29	294.2588	141.495	384.36	490.1975	653.0788	441.9875	806.2563	616.4925	348.2338	171.9075	375.4	499.5	730.77	257.085	373.465	369.9538	268.8888	417.44	154.9675	448.1325	166.3	208.785	332.1613
K01144	267.3925	267.8075	1292.526	1277.299	435.2475	682.4263	523.2375	3801.644	1188.401	914.4225	675.575	1479.901	213.5638	580.7213	1512.701	134.7288	941.0138	246.5325	359.2838	473.71	727.7275	888.5938	1202.243	128.8213	1140.878	941.55	543.7775	104.5738	1137.579	2734.136	2316.42	658.8725	488.6213	623.0513	439.005	639.82	823.98	149.2725	429.2213	273.4325	398.305	475.84	1353.446	1246.386	2502.604	2955.898	4323.686	1104.071	266.2863	2007.886	405.5888	747.6775	410.6313	936.0188	1791.611	603.2725	1772.465	139.8338	479.9713	459.3475	2249.078	1813.69
K02268	53.5225	74.2275	315.97	15.2225	53.01625	27.265	103.1925	39.29	139.775	85.66125	201.01	115.5425	50.5075	27.76875	82.0975	62.39375	30.41125	12.8325	34.00625	46.01375	98.27625	60.81875	19.20625	14.39375	94.45	65.88	43.92875	60.95625	168.4813	113.6188	141.6863	66.205	72.05125	120.355	56.62375	31.9375	123.2438	27.55	11.77375	136.1575	27.50625	170.0275	179.8175	253.0063	207.6925	192.8338	191.0075	64.205	83.72375	63.35125	66.2075	78.4175	24.0275	159.6075	100.5825	115.6963	142.1613	39.78125	56.095	81.74625	118.8563	68.61375
K02566	235.4286	375.6679	60.03571	194.2089	401.7518	362.5714	397.9714	324.7179	1064.045	632.7089	909.6	433.9839	308.3321	256.2393	490.9179	361.0286	85.61607	142.0036	371.8393	545.4071	262.4321	309.3232	142.2571	96.70357	528.6179	246.3536	270.3571	597.6286	633.1929	628.9625	353.1107	261.5143	512.8036	1189.589	208.3839	633.4446	886.6946	539.275	356.0768	282.4893	188.1161	768.1911	734.975	992.5768	656.5732	1024.771	1454.052	700.1982	323.6661	189.4768	231.9339	822.7286	338.7357	440.6054	228.2893	498.9464	180.6821	145.9911	352.2714	358.2036	214.3982	302.6196
K02566_1	257.85	397.4696	56	194.5482	443.3196	348.9161	417.8268	335.7857	1124.284	682.2589	968.5429	440.2589	332.3179	205.4196	523.7661	380.1357	97.48393	155.2661	376.7518	559.5768	272.2929	295.5554	146.9179	104.9554	548.325	271.2393	265.4518	654.9107	637.6732	593.7411	360.7	292.6018	506.4589	1186.614	206.6714	628.8607	935.5143	556.6804	342.8071	278.7589	191.4911	809.7107	745.6357	1026.005	660.6875	1054.791	1430.391	705.1607	322.2982	145.6893	202.825	811.1304	316.0161	443.5393	101.0696	506.0268	215.0143	140.5429	330.2339	244.8929	199.7107	321.4768
K02566_2	113.6963	146.3413	46.015	98.545	160.5137	170.065	160.8038	194.4688	363.8188	328.8325	403.8138	233.4863	141.335	141.1063	315.7138	168.3563	76.36	88.0375	148.4613	239.4813	131.3275	194.1913	86.86625	73.86625	261.5425	72.31375	77.385	227.5925	87.255	161.7962	178.3963	88.6775	152.0438	320.78	101.8512	197.215	267.355	178.1988	190.3988	119.7063	49.64125	386.165	211.8313	450.9888	322.25	464.9313	577.9025	306.475	143.18	112.8125	44.19	331.3963	127.93	306.1888	34.31375	214.0125	32.34875	48.895	166.3525	100.125	58.01	168.745
K03001	607.6274	1588.852	166.2095	520.2964	427.1393	195.9179	440.9036	405.8476	1128.756	486.0524	311.5405	1105.824	268.7262	349.8929	630.7512	1049.841	130.9905	199.0929	469.2941	234.1238	866.0964	1010.086	102.9583	64.35595	1507.68	764.0429	724.5119	1159.93	1910.257	632.025	1095.37	241.4869	255.5821	663.5583	640.6357	299.5488	1294.946	497.2941	959.2833	808.3964	666.0536	1209.077	1564.681	1084.308	2268.956	1147.908	1810.088	1417.943	542.3167	1208.251	1257.646	1012.017	1286.737	1476.567	670.375	675.5655	592.975	508.4131	650.9798	1394.299	254.9071	970.2036
K03192_1	115.3136	108.3886	231.9114	197.7977	46.25	51.27727	119.9591	138.4386	17.17273	23.58409	43.25909	33.39091	166.2932	201.2432	170.2523	117.1046	26.025	29.08636	43.04546	26.51591	97.21818	83.06364	18.11591	13.35227	107.775	34.02046	41.11364	79.69546	82.71818	103.7	89.5	21.14091	33.22273	52.225	42.22273	30.78182	111.2409	30.98409	84.77046	78.09091	47.125	116.3796	88.56364	70.77046	160.4204	109.9227	78.38409	99.06818	68.25909	137.4136	81.35227	163.4364	48.85682	109.5864	52.58409	30.18864	53.52046	25.48864	171.0136	70.625	109.1205	58.76136
K03192_2	78.91786	104.9405	252.4857	210.7738	60.05476	53.30476	110.3191	98.04762	8.88095	35.84762	13.64762	66.35952	161.9155	153.4441	270.1881	138.7964	18.90119	32.8	82.86905	39.23929	107.7786	65.71071	33.72143	27.08929	115.8214	51.24048	62.83571	168.906	110.7869	116.5548	119.9083	28.2131	31.725	172.7595	38.38571	45.82024	116.5655	28.85357	91.43095	89.84643	82.76667	82.32738	137.2798	98.36548	173.7179	112.5369	113.3571	116.6369	75.24762	91.10476	63.93214	182.2226	76.58691	108.8512	43.54762	8.11905	40.58214	41.62976	149.731	51.05119	97.35595	59.31667
K03460	395.5417	488.5619	191.6167	438.4905	174.4048	96.74405	276.3286	108.131	470.8357	144.8714	830.9821	651.0607	346.0976	374.8393	351.0119	491.681	910.7774	314.1202	305.1762	157.625	392.9548	288.2214	427.0702	107.1691	486.1393	364.525	293.2929	581.3738	910.4476	575.9119	490.9845	242.7452	377.5131	271.6941	252.1762	153.8952	206.3631	208.1845	101.0952	628.1	125.8191	182.0929	376.4762	723.8286	539.7405	665.9012	341.556	121.281	185.5476	448.7857	464.2155	685.8976	295.6893	201.0131	95.67024	139.4857	163.6119	245.1429	472.7024	136.881	285.2464	254.2179
K03474_1	285.5274	268.3107	88.12024	71.51548	34.73452	14.76191	207.4976	162.7476	159.1929	185.8393	679.9929	255.7012	133.481	172.0607	283.4821	19.46071	106.825	147.1143	67.33452	104.2441	251.0095	414.7774	75.19286	50.42024	138.9643	107.3214	92.28095	307.0917	290.0524	546.2798	186.6179	158.6821	181.9143	208.2286	164.6012	340.3167	154.7941	61.07024	111.6238	223.4917	243.6524	553.7226	1281.956	1160.982	610.7762	463.4143	786.8417	278.8857	434.9107	486.0143	715.3964	618.6845	233.1262	302.1691	1130.314	282.4238	227.0191	276.425	443.8155	406.0345	365.431	344.2893
K03474_2	88.44444	86.03611	122.4139	140.8306	52.74167	41.21111	197.2583	73.48611	92.90833	97.82778	451.5556	153.6861	127.1222	111.625	152.4694	23.89167	100.3917	80.025	43.13056	87.20833	156.3333	139.4	24.875	6.19167	37.82778	29.96667	39.01389	75.925	198.9639	403.2472	102.6583	74.62778	176.8167	147.8611	44.79722	414.8583	185.4306	33.15278	24.94444	124.0528	290.4528	275.6889	172.2556	433.6722	82.89722	142.9694	834.7083	68.33611	95.26389	182.0889	693.6472	368.1889	130.1389	129.5917	1174.892	130.6194	95.56944	238.125	331.4667	158.9417	373.7722	193.7861
L00352	63.89	108.2375	74.08125	271.7575	120.7913	64.2725	250.7125	104.1125	500.4713	233.2025	194.1838	445.6438	122.27	85.9275	176.1725	123.8225	74.82875	140.8113	169.8488	39.0225	210.9763	163.1	100.73	125.97	133.1325	111.66	184.215	427.5263	544.1263	420.78	502.3725	95.9275	207.1338	148.7175	279.3438	265.3788	513.455	134.3538	121.14	91.62375	249.4638	170.365	782.8463	266.8075	703.2775	330.4588	565.5237	665.99	234.1588	309.7275	83.87625	153.52	480.8063	250.445	73.3875	273.8025	312.055	104.1025	80.85375	258.09	136.1725	120.52
L00354	110.6338	118.215	92.75875	106.2463	40.84	50.96	107.5938	97.76875	156.6225	112.1413	191.47	146.85	84.48375	87.47625	93.80125	44.54875	56.42375	41.47625	71.89875	99.05625	129.9763	164.3262	25.3175	14.6125	30.11	52.55875	45.17125	82.12	189.7488	138.2775	129.1975	51.59	76.58125	84.33625	78.1575	32.27625	152.305	33.63625	30.045	66.645	20.5425	141.8175	224.37	235.8063	194.3025	152.0638	111.0788	62.77125	81.30875	130.0113	118.4713	121.9363	19.265	76.2525	31.87625	61.8975	34.49	45.32875	53.305	86.30375	64.99875	39.61125
L01664	124.055	150.805	80.695	69.9675	170.47	140.905	123.6575	257.0975	96.55125	185.7375	209.6463	128.7538	222.9775	175.1825	206.8262	96.94	97.8175	123	160.2375	172.24	244.065	214.1488	123.6663	41.1225	227.2813	60.2575	51.665	198.9563	152.0475	150.0188	168.085	95.08375	87.05875	269.1425	79.06125	148.2288	138.64	114.8263	113.7163	118.9738	62.74625	274.8688	304.8863	445.5113	275.9763	421.64	467.1225	200.0588	70.29625	290.1613	260.925	472.945	163.8125	286.3288	113.3988	133.5975	123.1975	62.16625	234.56	84.835	95.6525	135.6825
L02426	140.6369	260.1381	69.80714	147.3238	304.4191	197.0191	233.3643	258.4917	393	314.6119	787.1214	372.2238	214.35	157.7202	345.6988	201.3976	101.269	158.3024	254.9905	315.8655	109.1738	139.9655	311.2786	64.42143	462.1274	130.5179	131.6893	461.7238	200.7881	372.3	475.4536	390.9119	355.375	481.2333	276.7976	497.1702	145.2679	451.5429	258.2857	337.9381	246.4679	422.6571	902.5191	648.2774	551.806	856.1441	963.7048	462.8571	206.1941	444.8464	210.9571	808.1107	330.4762	484.6214	281.5298	362.0441	226.5012	112.331	415.9976	286.2964	481.906	432.6155
L03840	166.5388	173.4438	162.59	259.7988	117.4088	46.65375	141.1475	143.1788	302.6475	98.79	209.1575	221.5363	166.5425	105.755	213.8713	87.9425	57.23875	37.99	147.0288	38.91125	274.155	199.65	104.7088	38.05	188.905	145.65	125.5913	596.2825	285.35	236.1	251.2975	38.50125	97.65	360.0038	125.7838	97.9025	568.6238	71.8475	239.8063	290.4388	236.4513	219.8063	175.9363	252.6125	607.9975	237.1925	491.77	215.9188	180.5038	198.575	130.665	257.06	233.41	202.1325	179.1213	92.54625	160.7075	236.6938	100.3713	132.9463	54.7675	73.7125
L04751	192.2763	217.0488	157.9988	232.08	68.7475	55.72875	102.5613	106.8913	164.4825	150.2825	114.4425	266.72	63.335	77.54625	165.2113	67.62625	49.2775	62.4575	102.6888	43.13	190.76	269.6025	39.7425	12.55625	196.3925	98.8675	97.4575	294.0713	319.7325	214.4713	306.9325	41.60625	54.96625	225.9763	105.695	58.55	210.1388	63.09125	174.065	134.8575	115.7325	210.955	192.7138	140.0625	363.325	141.89	222.6488	224.2313	108.7675	115.7425	102.9925	191.3688	110.4813	250.2388	97.0025	106.37	140	80.85625	78.36625	161.6488	72.7575	121.8575
L04953	85.08	113.4138	71.62125	67.8025	90.925	43.79	52.98875	111.8888	66.0075	153.765	256.8063	94.40125	80.5775	57.88125	124.5788	20.71125	27.37875	32.75875	9.2125	70.9725	136.8875	261.8813	35.31875	21.90625	94.49125	33.125	56.1125	61.62375	209.9088	143.5638	122.6288	56.55875	44.06625	68.95875	33.1325	40.8675	219.5425	42.34	55.08625	56.8225	15.36625	106.7325	197.08	119.845	208.9512	118.095	236.01	178.2425	97.61625	83.9725	91.47875	103.8988	67.265	127.3663	92.2875	67.76875	8.10375	21.73125	41.42875	88.1775	29.0175	32.44375
L05144	838.3375	2367.35	67.47625	553.72	132.505	396.18	203.58	772.8513	20.38875	1826.778	1689.109	1620.386	805.6688	961.0475	473.8875	109.3163	29.10375	535.9288	161.72	925.1213	167.75	1697.796	16.6525	36.49875	210.4863	578.8913	456.1938	272.8338	1026.152	53.10375	111.1388	280.3213	225.405	355.9213	280.655	280.5213	843.0975	138.4388	1505.39	166.0688	193.5388	1783.864	1892.25	1035.422	3372.458	322.7425	477.6888	3004.773	1925.795	1019.614	130.8175	254.67	581.1875	2032.451	63.81125	734.1175	17.44875	135.515	153.9888	862.195	170.1625	473.1388
L05485	144.9702	194.0905	183.9119	260.2357	104.9762	103.5524	45.57738	118.0655	94.72143	99.69405	80.31905	166.7667	149.5071	148.5691	147.1441	31.59405	56.04881	41.36667	88.02024	94.86667	158.9607	220.0833	63.33571	25.53452	283.9631	79.45	71.64762	207.8548	123.9536	162.1202	154.0476	11.76905	43.33214	227.0024	72.31667	45.3631	59.19524	33.28095	190.5655	138.4619	150.1024	224.0917	209.9488	77.20595	428.0429	199.3024	184.4452	193.1417	145.1905	232.3738	164.4786	181.1738	57.75476	242.925	83.75595	102.1845	59.80952	68.37262	126.6393	168.0452	99.31191	149.4333
L06111	83.845	49.41875	117.7688	120.7838	69.19875	63.42375	137.0825	256.3563	57.865	66.14	134.7175	85.67125	67.81875	36.6325	244.8575	145.64	8.53625	9.1575	33.25125	74.5475	38.61	70.485	75.14625	28.49375	111.2938	60.7175	76.9825	146.8463	111.8863	116.875	139.4075	108.4263	81.34625	171.4938	69.55625	116.09	83.9475	126.545	157.925	89.1475	37.9425	179.4425	210.4163	176.9375	216.6975	245.1975	254.5325	167.6663	87.66625	144.255	109.4725	191.22	147.8675	175.5963	97.56125	89.09	136.54	36.48875	102.4788	70.87375	68.92375	93.2825
